data_manuscript_Wiersma2023
ID,Year,Weight,CanHt,PC1,LDMC,SLA,LeafSize,F,N,Strongyles,Age,Sex,AgeCat,grid.east.m,grid.north.m,IdYear
1555,2014,9.3,0.354273348,-1.887574901,283.5509025,22.98360486,1349.037079,6.0882627,3.38603704,1100,0,M,Lamb,1276.666667,1710,1555_2014
3139,2014,12.7,0.347309998,-2.883229417,272.2992048,24.71808525,1788.288818,5.88690496,3.864550932,400,0,F,Lamb,1232.142857,1625,3139_2014
5112,2015,17.2,0.357295618,-3.628016088,261.1643843,26.02129611,2657.757799,5.908047342,3.912396051,500,1,M,Yearling,1158,1690,5112_2015
2612,2017,34.25,0.330927119,-2.216074969,266.3417199,24.37424719,929.8535673,6.048542985,3.730645989,500,4,M,Adult,1155.882353,1414.705882,2612_2017
9976,2016,36.5,0.353601513,-1.933796576,276.3394394,23.71855912,1232.627571,6.221892595,3.504783019,0,3,M,Adult,1013.636364,1553.030303,9976_2016
8340,2015,12.65,0.34554346,-3.402951388,243.8621945,26.41004638,1181.336494,5.639190158,4.260564805,1200,0,F,Lamb,1404.545455,1425.757576,8340_2015
8340,2016,17.5,0.320042449,-3.809555567,239.6044563,27.64975386,1282.300632,5.611845147,4.46796082,400,1,F,Yearling,1375.806452,1427.419355,8340_2016
8340,2017,20.9,0.311707555,-4.349511323,234.8293236,28.17301697,1751.317984,5.553808327,4.657094282,500,2,F,Adult,1371.875,1418.75,8340_2017
2806,2015,11.55,0.327962133,-3.289905343,259.299975,26.36380554,1517.834908,5.767869492,4.120143125,300,0,F,Lamb,1292.307692,1630.769231,2806_2015
7936,2015,8.6,0.368116384,-3.397519207,257.444656,25.81111255,2164.823251,5.902848359,3.999147095,1000,0,F,Lamb,1150,1685,7936_2015
2769,2015,17.05,0.333029177,-3.894444684,246.3426846,27.69467587,2003.983356,5.892409448,4.39281829,400,0,M,Lamb,1072.727273,1586.363636,2769_2015
5811,2015,10.3,0.280963409,-4.07158667,228.5914281,29.04479138,988.7233263,5.568788296,4.639765381,1400,0,M,Lamb,1236.363636,1440.909091,5811_2015
5476,2015,8.95,0.273572659,-4.073798408,225.0992892,29.37155535,880.0869842,5.608043685,4.673116623,400,0,F,Lamb,1245.454545,1454.545455,5476_2015
6266,2016,17.05,0.34067082,-3.914344995,252.4754734,27.21531282,2188.065289,5.785176128,4.304153045,0,1,F,Yearling,1239.285714,1625,6266_2016
6266,2017,20.1,0.323183665,-4.313241769,240.7039253,29.3446183,1443.457257,5.533271175,4.766688741,0,2,F,Adult,1240.322581,1579.032258,6266_2017
2852,2016,21.2,0.341537888,-4.628724278,226.7217307,27.90199258,2235.127753,5.787272727,4.937575758,100,1,F,Yearling,1145.238095,1530.952381,2852_2016
2852,2017,23.95,0.335518707,-4.04456466,244.3410261,27.85910981,2101.580569,5.885092246,4.483804627,200,2,F,Adult,1110.714286,1575,2852_2017
2980,2015,10.95,0.291804123,-3.639617662,234.5958307,27.05833603,1061.208701,5.640028435,4.410893844,600,0,F,Lamb,1104.545455,1322.727273,2980_2015
8247,2015,13.95,0.287870153,-4.140002708,229.2106906,28.68586327,1026.589429,5.479841039,4.689363312,1500,0,M,Lamb,1327.272727,1413.636364,8247_2015
5741,2015,13.25,0.362219624,-2.969056316,250.8428853,25.31772664,1145.478436,5.7433085,4.041008171,600,0,F,Lamb,1420.833333,1429.166667,5741_2015
8256,2015,10.2,0.307404508,-4.197172399,233.1204676,28.7993023,1376.641594,5.613077378,4.694367009,1200,0,F,Lamb,1180.434783,1419.565217,8256_2015
6723,2015,13.3,0.336504721,-3.390450217,251.4944554,26.76269572,1624.353994,5.885991633,4.164348091,800,0,F,Lamb,1050,1583.333333,6723_2015
3262,2015,15.75,0.281236688,-4.055116828,227.4955653,28.57076888,873.4030404,5.471938189,4.667783719,200,0,M,Lamb,1340.322581,1372.580645,3262_2015
3262,2016,23.25,0.290550384,-4.128883878,228.7153727,28.47360612,1099.433682,5.507848063,4.672523342,0,1,M,Yearling,1279.032258,1398.387097,3262_2016
